Project Universal ID,Project Name,Builders,Parent Builder,Status,Master Plan Name,Master Plan Developer Name,Plan Name,Bedrooms,Bathrooms,Floors,Garages,Unit Size,List Price,Last Update Date,Plan Universal ID,Active Adult,ZIP Code,City,County,County Code,CBSA,CBSA Code,State,School District,School Attendance Zone (Elementary),School Ratings (Elementary),School Attendance Zone (Middle),School Ratings (Middle),School Attendance Zone (High),School Ratings (High),Boundary Names,Latitude,Longitude
aAfPc000001a5aFKAQ,Sendero at Folsom Ranch,TRI Pointe Homes,"TRI Pointe Homes, Inc.",Active,Folsom Ranch,"New Home Co., Westland Capital Partners",Plan 2,4,3,2,2,1636,585000,11/21/2025,aAaPc000000ZJYlKAO,Non Active Adult,95630,Folsom,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Folsom-Cordova Unified School District,Mangini Ranch Elementary,8,Folsom Middle School,8,Folsom High School,10,Folsom,38.62484,-121.10789
aAfPc000001a5aFKAQ,Sendero at Folsom Ranch,TRI Pointe Homes,"TRI Pointe Homes, Inc.",Active,Folsom Ranch,"New Home Co., Westland Capital Partners",Plan 1,3,2,2,2,1566,522430,11/15/2025,aAaPc000000ZJYmKAO,Non Active Adult,95630,Folsom,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Folsom-Cordova Unified School District,Mangini Ranch Elementary,8,Folsom Middle School,8,Folsom High School,10,Folsom,38.62484,-121.10789
aAfPc000001NkxfKAC,Cyan at The Preserve,Lennar,,Active,,,RESIDENCE 1765,3,2.5,2,2,1765,540990,12/4/2025,aAaPc000000S6AmKAK,Non Active Adult,95742,Rancho Cordova,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sunrise Elementary School,7,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Rancho Cordova,38.54207,-121.20228
aAfPc000001NkxfKAC,Cyan at The Preserve,Lennar,,Active,,,RESIDENCE 2179,4,3,2,2,2179,591990,12/4/2025,aAaPc000000S6AnKAK,Non Active Adult,95742,Rancho Cordova,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sunrise Elementary School,7,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Rancho Cordova,38.54207,-121.20228
aAfPc000001NkxfKAC,Cyan at The Preserve,Lennar,,Active,,,RESIDENCE 1941,3,2.5,2,2,1941,563990,12/4/2025,aAaPc000000S6AoKAK,Non Active Adult,95742,Rancho Cordova,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sunrise Elementary School,7,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Rancho Cordova,38.54207,-121.20228
aAfPc000001NkxfKAC,Cyan at The Preserve,Lennar,,Active,,,RESIDENCE 2018,4,3,2,2,2018,585990,12/4/2025,aAaPc000000S6ApKAK,Non Active Adult,95742,Rancho Cordova,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sunrise Elementary School,7,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Rancho Cordova,38.54207,-121.20228
aAfPc000001NkxhKAC,Azure at The Preserve,Lennar,,Active,,,RESIDENCE 2127,3,3,2,2,2127,629990,12/4/2025,aAaPc000000S6AvKAK,Non Active Adult,95742,Rancho Cordova,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sunrise Elementary School,7,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Rancho Cordova,38.54207,-121.20228
aAfPc000001NkxhKAC,Azure at The Preserve,Lennar,,Active,,,RESIDENCE 2386,4,3,2,2,2386,660990,12/4/2025,aAaPc000000S6AwKAK,Non Active Adult,95742,Rancho Cordova,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sunrise Elementary School,7,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Rancho Cordova,38.54207,-121.20228
aAfPc000001NkxhKAC,Azure at The Preserve,Lennar,,Active,,,RESIDENCE 2612,5,3,2,2,2612,683990,12/4/2025,aAaPc000000S6AxKAK,Non Active Adult,95742,Rancho Cordova,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sunrise Elementary School,7,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Rancho Cordova,38.54207,-121.20228
aAfPc000001IuXpKAK,Redwood IV at Vineyard Park,Lennar,,Active,,,RESIDENCE 2161,4,3,1,3,2161,685990,12/4/2025,aAaPc000000PV5eKAG,Non Active Adult,95829,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sierra-Enterprise Elementary School,6,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Florin / Vineyard,38.49147,-121.37285
