Project Universal ID,Project Name,Builders,Parent Builder,Status,Master Plan Name,Master Plan Developer Name,Plan Name,Bedrooms,Bathrooms,Floors,Garages,Unit Size,List Price,Last Update Date,Plan Universal ID,Active Adult,ZIP Code,City,County,County Code,CBSA,CBSA Code,State,School District,School Attendance Zone (Elementary),School Ratings (Elementary),School Attendance Zone (Middle),School Ratings (Middle),School Attendance Zone (High),School Ratings (High),Boundary Names,Latitude,Longitude
aAf3x000001QedFCAS,Vibrance at Solaire,TRI Pointe Homes,"TRI Pointe Homes, Inc.",Active,Solaire,"Sierra Vista Landowners Group, Westpark Communities",Plan 3,4,3,2,2,2393,698362,10/13/2025,aAaPc0000004vDbKAI,Non Active Adult,95747,Roseville,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Roseville City Elementary School District,,,Barbara Chilton Middle School,7,West Park High,8,Roseville,38.76686,-121.38821
aAfPc000000U2BOKA0,Riverblossom at Montelena,TRI Pointe Homes,"TRI Pointe Homes, Inc.",Active,,,Plan 3,4,3,2,2,2181,593000,10/21/2025,aAaPc000000ADrbKAG,Non Active Adult,95742,Rancho Cordova,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sunrise Elementary School,7,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Rancho Cordova,38.55071,-121.22869
aAfPc000000U2BOKA0,Riverblossom at Montelena,TRI Pointe Homes,"TRI Pointe Homes, Inc.",Active,,,Plan 2,3,2.5,2,2,1923,548136,10/18/2025,aAaPc000000ADrcKAG,Non Active Adult,95742,Rancho Cordova,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sunrise Elementary School,7,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Rancho Cordova,38.55071,-121.22869
aAfPc000000U2BOKA0,Riverblossom at Montelena,TRI Pointe Homes,"TRI Pointe Homes, Inc.",Active,,,Plan 1,3,2.5,2,2,1752,538955,10/18/2025,aAaPc000000ADrdKAG,Non Active Adult,95742,Rancho Cordova,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sunrise Elementary School,7,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Rancho Cordova,38.55071,-121.22869
aAfPc000000sBP8KAM,Terrace Park,TRI Pointe Homes,"TRI Pointe Homes, Inc.",Active,,,Plan 3,4,2.5,2,2,2011,584131,10/10/2025,aAaPc000000F8w8KAC,Non Active Adult,95835,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Twin Rivers Unified School District,Regency Park Elementary School,7,Rio Linda Preparatory Academy; Norwood Junior High School,5; 5,,,Natomas,38.67837,-121.53498
aAfPc000000sBP8KAM,Terrace Park,TRI Pointe Homes,"TRI Pointe Homes, Inc.",Active,,,Plan 2,3,2.5,2,2,1917,571368,10/10/2025,aAaPc000000F8w9KAC,Non Active Adult,95835,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Twin Rivers Unified School District,Regency Park Elementary School,7,Rio Linda Preparatory Academy; Norwood Junior High School,5; 5,,,Natomas,38.67837,-121.53498
aAfPc000000sBP8KAM,Terrace Park,TRI Pointe Homes,"TRI Pointe Homes, Inc.",Active,,,Plan 1,3,2.5,2,2,1815,568000,10/24/2025,aAaPc000000F8wAKAS,Non Active Adult,95835,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Twin Rivers Unified School District,Regency Park Elementary School,7,Rio Linda Preparatory Academy; Norwood Junior High School,5; 5,,,Natomas,38.67837,-121.53498
aAf3x000001QeGRCA0,Cottages at The Preserve,KB Home,,Active,,,Plan 1824 Modeled,4,3.5,2,2,1824,510144,9/17/2025,aAaPc000000D4p0KAC,Non Active Adult,95843,Antelope,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Center Joint Unified School District,Arthur S. Dudley Elementary School,4,Wilson C. Riles Middle School,5,Center High,7,Antelope,38.71011,-121.38782
aAf3x000001QNSVCA4,Estates at Newport,Seeno Homes,,Active,,,Argo,4,3,1,2,2105,731000,10/15/2025,aAaPc000000DI5kKAG,Non Active Adult,95691,West Sacramento,Yolo,6113,"Sacramento-Roseville-Folsom, CA",40900,CA,,Stonegate Elementary School,6,Stonegate Elementary School,6,River City High School,7,West Sacramento,38.54786,-121.51609
aAf3x000001QNSVCA4,Estates at Newport,Seeno Homes,,Active,,,Baltic,4,3,2,2,2770,799000,10/15/2025,aAaPc000000DI5lKAG,Non Active Adult,95691,West Sacramento,Yolo,6113,"Sacramento-Roseville-Folsom, CA",40900,CA,,Stonegate Elementary School,6,Stonegate Elementary School,6,River City High School,7,West Sacramento,38.54786,-121.51609
aAf3x000001QNSVCA4,Estates at Newport,Seeno Homes,,Active,,,Caspian,4,3,2,2,2869,824000,10/15/2025,aAaPc000000DI5mKAG,Non Active Adult,95691,West Sacramento,Yolo,6113,"Sacramento-Roseville-Folsom, CA",40900,CA,,Stonegate Elementary School,6,Stonegate Elementary School,6,River City High School,7,West Sacramento,38.54786,-121.51609
aAf3x000001QNSVCA4,Estates at Newport,Seeno Homes,,Active,,,Dawson,4,3.5,2,2,3123,874000,10/15/2025,aAaPc000000DN2LKAW,Non Active Adult,95691,West Sacramento,Yolo,6113,"Sacramento-Roseville-Folsom, CA",40900,CA,,Stonegate Elementary School,6,Stonegate Elementary School,6,River City High School,7,West Sacramento,38.54786,-121.51609
aAfPc000000FRMVKA4,Edgewater at Delta Shores,KB Home,,Active,,,Plan 2693 Modeled,5,3,2,2,2693,645990,9/30/2025,aAaPc000000EMdRKAW,Non Active Adult,95832,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Sacramento City Unified School District,John H. Still School,4,John H. Still School,4,Luther Burbank High School,4,Pocket / Land Park,38.46586,-121.50294
aAfPc000000FRMVKA4,Edgewater at Delta Shores,KB Home,,Active,,,Plan 2391,4,3,2,2,2391,614990,9/30/2025,aAaPc000000EMdSKAW,Non Active Adult,95832,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Sacramento City Unified School District,John H. Still School,4,John H. Still School,4,Luther Burbank High School,4,Pocket / Land Park,38.46586,-121.50294
aAfPc000000FRMVKA4,Edgewater at Delta Shores,KB Home,,Active,,,Plan 2188,3,2,1,2,2188,615990,10/7/2025,aAaPc000000EMdTKAW,Non Active Adult,95832,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Sacramento City Unified School District,John H. Still School,4,John H. Still School,4,Luther Burbank High School,4,Pocket / Land Park,38.46586,-121.50294
aAfPc000000FRMVKA4,Edgewater at Delta Shores,KB Home,,Active,,,Plan 1685 Modeled,3,2,1,2,1685,581990,9/30/2025,aAaPc000000EMdUKAW,Non Active Adult,95832,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Sacramento City Unified School District,John H. Still School,4,John H. Still School,4,Luther Burbank High School,4,Pocket / Land Park,38.46586,-121.50294
aAfPc000000cngmKAA,Park Place,Century Communities,"Century Communities, Inc.",Active,,,Plan 1 - 1706,3,2.5,2,2,1706,508990,10/25/2025,aAaPc000000EMdrKAG,Non Active Adult,95824,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Sacramento City Unified School District,Ethel I. Baker Elementary School,3,Fern Bacon Middle School,4,Hiram W. Johnson High School,3,Florin / Vineyard,38.513,-121.4435
aAfPc000000cngmKAA,Park Place,Century Communities,"Century Communities, Inc.",Active,,,Plan 2 - 1945,3,2.5,0,2,1945,523990,10/25/2025,aAaPc000000EMdsKAG,Non Active Adult,95824,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Sacramento City Unified School District,Ethel I. Baker Elementary School,3,Fern Bacon Middle School,4,Hiram W. Johnson High School,3,Florin / Vineyard,38.513,-121.4435
aAfPc000000cngmKAA,Park Place,Century Communities,"Century Communities, Inc.",Active,,,Plan 3 - 1518,3,2.5,0,2,1518,492990,10/25/2025,aAaPc000000EMdtKAG,Non Active Adult,95824,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Sacramento City Unified School District,Ethel I. Baker Elementary School,3,Fern Bacon Middle School,4,Hiram W. Johnson High School,3,Florin / Vineyard,38.513,-121.4435
aAfPc0000018ILlKAM,Arbor Ranch/Residences,New Home Co.,,Active,,,Plan 5001,3,3.5,1,3,2586,805810,10/2/2025,aAaPc000000KQSzKAO,Non Active Adult,95757,Elk Grove,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Zehnder Ranch Elementary,8,Elizabeth Pinkerton Middle School,8,Cosumnes Oaks High School,10,Laguna / Elk Grove,38.38322,-121.40383
aAfPc0000018ILlKAM,Arbor Ranch/Residences,New Home Co.,,Active,,,Plan 5002,4,3.5,2,3,3304,892365,10/2/2025,aAaPc000000KQUbKAO,Non Active Adult,95757,Elk Grove,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Zehnder Ranch Elementary,8,Elizabeth Pinkerton Middle School,8,Cosumnes Oaks High School,10,Laguna / Elk Grove,38.38322,-121.40383
aAfPc0000018ILlKAM,Arbor Ranch/Residences,New Home Co.,,Active,,,Plan 5003,5,4.5,2,3,3636,1022980,10/2/2025,aAaPc000000KQWDKA4,Non Active Adult,95757,Elk Grove,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Zehnder Ranch Elementary,8,Elizabeth Pinkerton Middle School,8,Cosumnes Oaks High School,10,Laguna / Elk Grove,38.38322,-121.40383
aAfPc000000yhP1KAI,Archer Estates,KB Home,,Active,,,Plan 2388 Modeled,4,3,2,2,2388,561990,9/30/2025,aAaPc000000ZCZQKA4,Non Active Adult,95838,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Twin Rivers Unified School District,Main Avenue Elementary School; Robla Preschool,3; 0,Rio Linda Preparatory Academy; Norwood Junior High School,5; 5,Robla Preschool,0,Antelope,38.6441,-121.44306
aAfPc000000yhP1KAI,Archer Estates,KB Home,,Active,,,Plan 2686,5,3,2,2,2686,584990,9/30/2025,aAaPc000000ZCZRKA4,Non Active Adult,95838,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Twin Rivers Unified School District,Main Avenue Elementary School; Robla Preschool,3; 0,Rio Linda Preparatory Academy; Norwood Junior High School,5; 5,Robla Preschool,0,Antelope,38.6441,-121.44306
aAfPc000000yhP1KAI,Archer Estates,KB Home,,Active,,,Plan 1429 Modeled,3,2,1,2,1429,468990,9/30/2025,aAaPc000000ZCZSKA4,Non Active Adult,95838,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Twin Rivers Unified School District,Main Avenue Elementary School; Robla Preschool,3; 0,Rio Linda Preparatory Academy; Norwood Junior High School,5; 5,Robla Preschool,0,Antelope,38.6441,-121.44306
aAfPc000000yhP1KAI,Archer Estates,KB Home,,Active,,,Plan 1672 Modeled,3,2,1,2,1672,496990,9/30/2025,aAaPc000000ZCZTKA4,Non Active Adult,95838,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Twin Rivers Unified School District,Main Avenue Elementary School; Robla Preschool,3; 0,Rio Linda Preparatory Academy; Norwood Junior High School,5; 5,Robla Preschool,0,Antelope,38.6441,-121.44306
aAfPc000001NkxjKAC,Cobalt at The Preserve,Lennar,,Active,,,RESIDENCE 3427,5,3.5,2,3,3427,786990,10/24/2025,aAaPc000000S6B5KAK,Non Active Adult,95742,Rancho Cordova,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sunrise Elementary School,7,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Rancho Cordova,38.54207,-121.20228
aAfPc000001NkxjKAC,Cobalt at The Preserve,Lennar,,Active,,,RESIDENCE 3105,5,3,2,2,3105,758990,10/24/2025,aAaPc000000S6B6KAK,Non Active Adult,95742,Rancho Cordova,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sunrise Elementary School,7,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Rancho Cordova,38.54207,-121.20228
aAfPc000001NkxjKAC,Cobalt at The Preserve,Lennar,,Active,,,RESIDENCE 2679,4,3,2,2,2679,707990,10/24/2025,aAaPc000000S6B7KAK,Non Active Adult,95742,Rancho Cordova,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sunrise Elementary School,7,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Rancho Cordova,38.54207,-121.20228
aAfPc0000009yEfKAI,Millau/Twelve Bridges,Century Communities,"Century Communities, Inc.",Active,Twelve Bridges,"Placer Holdings, Inc.",Plan 4 - 1518,3,2.5,0,2,1518,511990,9/12/2025,aAaPc000000bcjIKAQ,Non Active Adult,95648,Lincoln,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Western Placer Unified School District,Twelve Bridges Elementary School,7,Twelve Bridges Middle School,8,Twelve Bridges High School,7,Lincoln,38.8559,-121.29072
aAfPc000000yhP1KAI,Archer Estates,KB Home,,Active,,,Plan 2148,3,2.5,2,2,2148,516990,9/30/2025,aAaPc000000cKhWKAU,Non Active Adult,95838,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Twin Rivers Unified School District,Main Avenue Elementary School; Robla Preschool,3; 0,Rio Linda Preparatory Academy; Norwood Junior High School,5; 5,Robla Preschool,0,Antelope,38.6441,-121.44306
aAfPc000001c5ivKAA,Noble at Liberty at Lincoln,Richmond American Homes,,Active,,,Ammolite,5,3.5,2,2,3020,723201,10/8/2025,aAaPc000000o1LuKAI,Non Active Adult,95648,Lincoln,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Western Placer Unified School District,Scott M. Leaman,6,Twelve Bridges Middle School,8,Twelve Bridges High School,7,Lincoln,38.86602,-121.33065
aAfPc000001c5ivKAA,Noble at Liberty at Lincoln,Richmond American Homes,,Active,,,Tourmaline,4,3,2,2,2670,655950,10/2/2025,aAaPc000000o1LvKAI,Non Active Adult,95648,Lincoln,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Western Placer Unified School District,Scott M. Leaman,6,Twelve Bridges Middle School,8,Twelve Bridges High School,7,Lincoln,38.86602,-121.33065
aAfPc000001c5ivKAA,Noble at Liberty at Lincoln,Richmond American Homes,,Active,,,Twain,4,3,2,2,2510,683951,10/8/2025,aAaPc000000sHiZKAU,Non Active Adult,95648,Lincoln,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Western Placer Unified School District,Scott M. Leaman,6,Twelve Bridges Middle School,8,Twelve Bridges High School,7,Lincoln,38.86602,-121.33065
aAfPc000000R5WfKAK,Milazzo at Amoruso Ranch/Express,D.R. Horton,"D.R. Horton, Inc.",Active,Amoruso Ranch,Brookfield Residential,Plan 1378,3,2.5,2,2,1378,516490,10/25/2025,aAaPc000000v7P4KAI,Non Active Adult,95747,Roseville,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Roseville City Elementary School District,,,George A. Buljan Middle School,4,West Park High,8,Roseville,38.81112,-121.38662
aAf3x000001QiVrCAK,Dragonfly at Winding Creek/Express,D.R. Horton,"D.R. Horton, Inc.",Active,Winding Creek,Anthem United,Plan 1615,4,2.5,2,2,1615,550490,10/25/2025,aAaPc000000v7PHKAY,Non Active Adult,95747,Roseville,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Roseville City Elementary School District,,,Robert C. Cooley Middle School,7,West Park High,8,Roseville,38.80288,-121.38525
aAf2T000000sh8eSAA,Sentinel VIllage at Sierra Vista,JMC Homes,,Active,Sierra Vista (CA),,Residence 1,3,2,1,2,1754,669990,9/23/2025,aAa2T000000LJMxSAO,Non Active Adult,95747,Roseville,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Center Joint Unified School District,,,Wilson C. Riles Middle School,5,Center High,7,Roseville,38.75922,-121.36419
aAf3x000001WeYqCAK,Saratoga Estates/Ponderosa,Elliott Homes,,Active,,,Brome,3,2,1,3,2437,939950,10/7/2025,aAa3x000000ULciCAG,Non Active Adult,95762,El Dorado Hills,El Dorado,6017,"Sacramento-Roseville-Folsom, CA",40900,CA,Buckeye Union Elementary School District,William Brooks Elementary School,8,Oak Ridge High School; Rolling Hills Middle School,10; 8,Oak Ridge High School,10,El Dorado Hills,38.65453,-121.08207
aAf3x000001WeYqCAK,Saratoga Estates/Ponderosa,Elliott Homes,,Active,,,The Clover,3,2.5,1,3,2664,1006950,10/7/2025,aAa3x000000ULckCAG,Non Active Adult,95762,El Dorado Hills,El Dorado,6017,"Sacramento-Roseville-Folsom, CA",40900,CA,Buckeye Union Elementary School District,William Brooks Elementary School,8,Oak Ridge High School; Rolling Hills Middle School,10; 8,Oak Ridge High School,10,El Dorado Hills,38.65453,-121.08207
aAf3x000001WeYqCAK,Saratoga Estates/Ponderosa,Elliott Homes,,Active,,,The Lucerne,4,3,1,3,2513,974950,10/7/2025,aAa3x000000UNocCAG,Non Active Adult,95762,El Dorado Hills,El Dorado,6017,"Sacramento-Roseville-Folsom, CA",40900,CA,Buckeye Union Elementary School District,William Brooks Elementary School,8,Oak Ridge High School; Rolling Hills Middle School,10; 8,Oak Ridge High School,10,El Dorado Hills,38.65453,-121.08207
aAf2T000000sh8eSAA,Sentinel VIllage at Sierra Vista,JMC Homes,,Active,Sierra Vista (CA),,Residence 2,3,2,1,2,1951,699990,9/23/2025,aAa3x000000Un4zCAC,Non Active Adult,95747,Roseville,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Center Joint Unified School District,,,Wilson C. Riles Middle School,5,Center High,7,Roseville,38.75922,-121.36419
aAf2T000000sh8eSAA,Sentinel VIllage at Sierra Vista,JMC Homes,,Active,Sierra Vista (CA),,Residence 3,4,3,1,3,2178,749990,9/23/2025,aAa3x000000Un50CAC,Non Active Adult,95747,Roseville,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Center Joint Unified School District,,,Wilson C. Riles Middle School,5,Center High,7,Roseville,38.75922,-121.36419
aAf3x000001YfDMCA0,Copper Ridge,KB Home,,Active,,,Plan 2622 Modeled,4,2.5,2,2,2622,847182,9/29/2025,aAa3x000000UTPWCA4,Non Active Adult,95648,Lincoln,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Western Placer Unified School District,Carlin C. Coppin Elementary School,5,Glen Edwards Middle School,5,Lincoln High School,6,Lincoln,38.90219,-121.26887
aAf3x000001YfDMCA0,Copper Ridge,KB Home,,Active,,,Plan 1608 Modeled,3,2,1,2,1608,687795,9/29/2025,aAa3x000000gna8CAA,Non Active Adult,95648,Lincoln,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Western Placer Unified School District,Carlin C. Coppin Elementary School,5,Glen Edwards Middle School,5,Lincoln High School,6,Lincoln,38.90219,-121.26887
aAf3x000001YgO2CAK,Sagebrook at Fiddyment Farm,JMC Homes,,Active,Fiddyment Farm,Wells Fargo Bank,Residence 4,3,2,1,3,1962,729990,10/8/2025,aAa3x000000gpMfCAI,Non Active Adult,95765,Rocklin,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Rocklin Unified School District,Sunset Ranch Elementary School,7,Granite Oaks Middle School,7,Whitney High School,9,Rocklin,38.82979,-121.27172
aAf3x000001YgO2CAK,Sagebrook at Fiddyment Farm,JMC Homes,,Active,Fiddyment Farm,Wells Fargo Bank,Residence 1,3,2,1,3,2042,814990,10/8/2025,aAa3x000000gpMpCAI,Non Active Adult,95765,Rocklin,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Rocklin Unified School District,Sunset Ranch Elementary School,7,Granite Oaks Middle School,7,Whitney High School,9,Rocklin,38.82979,-121.27172
aAf3x000001YgO2CAK,Sagebrook at Fiddyment Farm,JMC Homes,,Active,Fiddyment Farm,Wells Fargo Bank,Residence 2,4,3,1,3,2243,824990,10/8/2025,aAa3x000000gpMuCAI,Non Active Adult,95765,Rocklin,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Rocklin Unified School District,Sunset Ranch Elementary School,7,Granite Oaks Middle School,7,Whitney High School,9,Rocklin,38.82979,-121.27172
aAf3x000001YgO2CAK,Sagebrook at Fiddyment Farm,JMC Homes,,Active,Fiddyment Farm,Wells Fargo Bank,Residence 3,4,4.5,2,3,3110,979990,10/8/2025,aAa3x000000gpMzCAI,Non Active Adult,95765,Rocklin,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Rocklin Unified School District,Sunset Ranch Elementary School,7,Granite Oaks Middle School,7,Whitney High School,9,Rocklin,38.82979,-121.27172
